WMOID STATION NAME                   YEAR MONTHS OF DATA AVAILABLE
43295 BANGALORE                      2002 12
43295 BANGALORE                      1997 12
43333 PORT BLAIR                     2001 12
43333 PORT BLAIR                     2000 12
43333 PORT BLAIR                     1995 1
43363 PAMBAN                         2001 12
43497 HAMBANTOTA                     2004 12
43497 HAMBANTOTA                     2001 12
44218 HOVD                           2005 5
44231 MUREN                          2005 5
44231 MUREN                          2004 12
44231 MUREN                          1995 1
44239 BULGAN                         2004 12
44239 BULGAN                         1997 12
44259 CHOIBALSAN                     2003 12
44259 CHOIBALSAN                     2002 12
44259 CHOIBALSAN                     2001 12
44259 CHOIBALSAN                     1995 1
44272 ULIASTAI                       2002 12
44272 ULIASTAI                       2001 12
44288 ARVAIHEER                      2003 12
44288 ARVAIHEER                      2002 12
44341 MANDALGOBI                     1996 12
44373 DALANZADGAD                    2000 12
47115 ULLUNGDO                       2004 12
47115 ULLUNGDO                       2001 12
41288 MASIRAH                        2003 12
41316 SALALAH                        1999 12
41316 SALALAH                        1997 12
41640 LAHORE CITY                    1997 12
41712 DAL BANDIN                     1996 12
41712 DAL BANDIN                     1995 1
42165 BIKANER                        1997 12
42182 NEW DELHI SAFDARJUNG           1999 12
42182 NEW DELHI SAFDARJUNG           1996 12
42295 DARJEELING                     1995 1
42410 GUWAHATI                       2000 12
42410 GUWAHATI                       1995 1
42515 CHERRAPUNJI                    1995 1
42587 DALTONGANJ                     1999 12
38001 FORT SEVCENKO                  2002 12
38001 FORT SEVCENKO                  1997 12
38403 BUZAUBAJ                       2004 12
38413 TAMDY                          1995 1
38457 TASHKENT                       1999 12
38611 NAMANGAN                       2004 12
40001 KAMISHLI                       1998 12
40022 LATTAKIA                       1999 12
40022 LATTAKIA                       1996 12
40199 EILAT                          2003 12
40199 EILAT                          2002 12
40199 EILAT                          2000 12
40361 AL-JOUF                        1999 12
40394 HAIL                           1996 12
40430 MADINAH                        1999 12
40582 KUWAIT AP                      2001 12
40706 TABRIZ                         1996 12
40745 MASHHAD                        2003 12
40745 MASHHAD                        1999 12
40754 TEHRAN-MEHRABAD                2002 12
40754 TEHRAN-MEHRABAD                1996 12
40841 KERMAN                         2001 12
40841 KERMAN                         1998 12
40848 SHIRAZ                         1999 12
31253 BOMNAK                         2003 12
31369 NIKOLAEVSK-NA-AMURE            2003 12
31369 NIKOLAEVSK-NA-AMURE            1998 12
31416 IM POLINY OSIPENKO             2004 12
31416 IM POLINY OSIPENKO             1998 12
31960 VLADIVOSTOK                    1997 12
32150 JUZHNO-SAHALINSK               2005 5
32150 JUZHNO-SAHALINSK               2004 12
32150 JUZHNO-SAHALINSK               1998 12
32618 NIKOL'SKOE                     2003 12
32618 NIKOL'SKOE                     1997 12
33587 UMAN'                          1996 12
34123 VORONEZ                        1997 12
34880 ASTRAHAN'                      1995 1
35394 KARAGANDA                      2005 5
35394 KARAGANDA                      1997 12
35796 BALHASH                        1999 12
35796 BALHASH                        1996 12
35925 SAM                            2005 5
35925 SAM                            2003 12
35925 SAM                            2001 12
35925 SAM                            2000 12
35925 SAM                            1998 12
36177 SEMIPALATINSK                  2001 12
36177 SEMIPALATINSK                  1997 12
36177 SEMIPALATINSK                  1995 1
36859 PANFILOV                       1999 12
36870 ALMATY                         2004 12
36870 ALMATY                         2002 12
36870 ALMATY                         1998 12
23330 SALEHARD                       2000 12
23330 SALEHARD                       1996 12
23472 TURUHANSK                      1995 1
23552 TARKO-SALE                     2001 12
23724 NJAKSIMVOL'                    2001 12
23724 NJAKSIMVOL'                    1995 1
23933 HANTY-MANSIJSK                 2004 12
24125 OLENEK                         2002 12
24125 OLENEK                         1998 12
24125 OLENEK                         1995 1
24143 DZARDZAN                       2003 12
24641 VILJUJSK                       1999 12
24688 OJMJAKON                       2003 12
24738 SUNTAR                         2005 5
24817 ERBOGACEN                      2003 12
24959 JAKUTSK                        2004 12
24959 JAKUTSK                        2002 12
24959 JAKUTSK                        1995 1
25248 ILIRNEJ                        2004 12
25325 UST'-OLOJ                      2005 5
25325 UST'-OLOJ                      1999 12
25399 MYS UELEN                      2002 12
25399 MYS UELEN                      2001 12
25563 ANADYR'                        2002 12
25563 ANADYR'                        1996 12
25744 KAMENSKOE                      2001 12
25954 KORF                           2005 5
25954 KORF                           1995 1
26242 TARTU                          2002 12
26242 TARTU                          1996 12
27037 VOLOGDA                        1997 12
27595 KAZAN'                         2002 12
27595 KAZAN'                         2000 12
27612 MOSKVA                         2003 12
27612 MOSKVA                         1996 12
27612 MOSKVA                         1995 1
28224 PERM'RS                        2002 12
28275 TOBOL'SK                       1999 12
28698 OMSK                           1997 12
29231 KOLPASEVO                      2003 12
29263 ENISEJSK                       2005 5
29263 ENISEJSK                       2000 12
29263 ENISEJSK                       1995 1
29282 BOGUCANY                       2003 12
29282 BOGUCANY                       2002 12
29570 KRASNOJARSK OPYTNOE POLE       2003 12
29866 MINUSINSK                      2002 12
29866 MINUSINSK                      1996 12
30054 VITIM                          1996 12
30230 KIRENSK                        1998 12
30230 KIRENSK                        1996 12
30309 BRATSK                         2001 12
30309 BRATSK                         2000 12
30309 BRATSK                         1996 12
30673 MOGOCA                         1996 12
30710 IRKUTSK                        2005 5
30710 IRKUTSK                        1995 1
30758 CHITA                          1995 1
31004 ALDAN                          2000 12
31004 ALDAN                          1999 12
31088 OHOTSK                         2003 12
31088 OHOTSK                         2002 12
31088 OHOTSK                         1998 12
31168 AJAN                           2005 5
31168 AJAN                           1998 12
16746 SOUDA                          2005 5
16746 SOUDA                          2002 12
17074 KASTAMONU                      1998 12
17090 SIVAS                          2005 5
17090 SIVAS                          2003 12
17170 VAN                            2003 12
17240 ISPARTA                        1998 12
20069 OSTROV VIZE                    2004 12
20292 GMO IM.E.K. FEDOROVA           1998 12
21432 OSTROV KOTEL'NYJ               2005 5
21432 OSTROV KOTEL'NYJ               1997 12
22113 MURMANSK                       2004 12
22113 MURMANSK                       2001 12
22602 REBOLY                         2002 12
22837 VYTEGRA                        2004 12
22837 VYTEGRA                        1998 12
22837 VYTEGRA                        1995 1
23205 NAR'JAN-MAR                    1997 12
12120 LEBA                           2002 12
12120 LEBA                           2001 12
15085 BISTRITA                       2001 12
16597 LUQA                           2002 12
16597 LUQA                           2000 12
16597 LUQA                           1998 12
16597 LUQA                           1996 12
16641 KERKYRA                        2003 12
16641 KERKYRA                        2000 12
16641 KERKYRA                        1995 1
10147 HAMBURG FUHLSBUETTEL           2004 12
10147 HAMBURG FUHLSBUETTEL           1995 1
10962 HOHENPEISSENBERG               2001 12
11035 WIEN/HOHE WARTE                2001 12
11035 WIEN/HOHE WARTE                1999 12
11035 WIEN/HOHE WARTE                1998 12
11146 SONNBLICK                      2004 12
11146 SONNBLICK                      2003 12
11146 SONNBLICK                      2002 12
06680 SAENTIS                        2002 12
06680 SAENTIS                        2001 12
06680 SAENTIS                        1999 12
07255 BOURGES                        2004 12
07255 BOURGES                        2002 12
07630 TOULOUSE BLAGNAC               2005 5
07630 TOULOUSE BLAGNAC               2004 12
07630 TOULOUSE BLAGNAC               2002 12
07650 MARSEILLE MARIGNANE            1999 12
07650 MARSEILLE MARIGNANE            1997 12
07650 MARSEILLE MARIGNANE            1996 12
08202 SALAMANCA MATACAN              2005 5
08522 FUNCHAL MDE                    2004 12
08522 FUNCHAL MDE                    2003 12
08522 FUNCHAL MDE                    2001 12
04320 DANMARKSHAVN                   2002 12
04320 DANMARKSHAVN                   2000 12
15360 SULINA                         2003 12
15360 SULINA                         1996 12
17062 ISTANBUL GOZTEPE               2002 12
24266 VERHOJANSK                     2001 12
30554 BAGDARIN                       2004 12
61612 PODOR                          2005 5
82410 BENJAMIN CONSTANT              2005 5
06186 KOBENHAVN                      2001 12
06260 DE BILT                        2001 12
01001 JAN MAYEN                      2005 5
01001 JAN MAYEN                      2003 12
01001 JAN MAYEN                      1998 12
01001 JAN MAYEN                      1995 1
01098 VARDO                          2001 12
01098 VARDO                          1998 12
01152 BODO VI                        1998 12
01152 BODO VI                        1995 1
02080 KARESUANDO                     2001 12
02080 KARESUANDO                     1995 1
02128 GUNNARN                        2005 12
02196 HAPARANDA                      1998 12
02196 HAPARANDA                      1995 1
02226 OSTERSUND/FROSON               2001 12
02418 KARLSTAD FP                    1998 12
02418 KARLSTAD FP                    1996 12
02485 STOCKHOLM                      2001 12
02550 JONKOPING/AXAMO                2000 12
02550 JONKOPING/AXAMO                1999 12
02550 JONKOPING/AXAMO                1998 12
02550 JONKOPING/AXAMO                1996 12
02590 VISBY                          1997 12
02935 JYVASKYLA                      2001 12
02963 JOKIOINEN                      1998 12
03005 LERWICK                        2005 5
03005 LERWICK                        2003 12
03005 LERWICK                        2002 12
03005 LERWICK                        2001 12
03005 LERWICK                        1999 12
03162 ESKDALEMUIR                    2005 5
03953 VALENTIA OBSERVATORY           2001 12
03980 MALIN HEAD                     1996 12
03980 MALIN HEAD                     1995 1
04063 AKUREYRI                       1999 12
91334 TRUK, CRL                      2001 12
91348 PONAPE, CRL                    2001 12
91348 PONAPE, CRL                    2000 12
91366 KWAJALEIN, MHL                 2004 12
